Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"VRAIMENT BELLE           ";6;F;"PUR SANG";6;1;1;6210,00;0,00;6210,00;1035,00;500
"SECRET BORIS             ";4;H;"PUR SANG";3;1;1;6200,00;0,00;6200,00;2066,67;570
"ROYAL GEMIX              ";4;H;"PUR SANG";4;0;4;6200,00;0,00;6200,00;1550,00;510
"GATEE                    ";5;F;"CHEVAL AUTRE QUE PUR SANG";7;0;5;6185,00;0,00;6185,00;883,57;510
"NUITS PREMIER CRU        ";9;H;"PUR SANG";1;0;1;6175,00;0,00;6175,00;6175,00;555
"DARARELLE                ";8;F;"CHEVAL AUTRE QUE PUR SANG";9;0;3;6175,00;0,00;6175,00;686,11;470
"ESTILLERA                ";7;F;"CHEVAL AUTRE QUE PUR SANG";7;0;3;6175,00;0,00;6175,00;882,14;480
"FAHAWRO                  ";6;H;"PUR SANG";3;0;1;6160,00;0,00;6160,00;2053,33;510
"MEMOIRE D'AFRIQUE        ";5;F;"PUR SANG";3;0;2;6140,00;0,00;6140,00;2046,67;525
"MONFALCON                ";4;H;"PUR SANG";1;0;1;6120,00;0,00;6120,00;6120,00;550
"MISS LOVELY              ";4;F;"PUR SANG";5;0;3;6100,00;0,00;6100,00;1220,00;520
"TOINE DE LENZAC          ";5;H;"PUR SANG";2;0;2;6080,00;0,00;6080,00;3040,00;540
"DOC NEGLIGENT            ";5;H;"PUR SANG";2;0;2;6080,00;0,00;6080,00;3040,00;
"NOWAY                    ";4;F;"PUR SANG";3;0;3;6080,00;0,00;6080,00;2026,67;500
"VALUE AT RISK            ";12;H;"PUR SANG";5;0;3;6065,00;0,00;6065,00;1213,00;500
"NOWO                     ";5;H;"PUR SANG";5;0;3;6040,00;0,00;6040,00;1208,00;540
"KALININGRAD              ";4;H;"PUR SANG";2;1;1;6035,00;0,00;6035,00;3017,50;550
"RUSSIAN MEMORY           ";5;F;"PUR SANG";2;0;2;6020,00;0,00;6020,00;3010,00;510
"ZITAN                    ";5;H;"PUR SANG";2;0;2;6020,00;0,00;6020,00;3010,00;580
"HORCALIN                 ";4;H;"CHEVAL AUTRE QUE PUR SANG";2;0;2;6000,00;0,00;6000,00;3000,00;
"HOT MACRI                ";4;H;"PUR SANG";4;0;2;6000,00;0,00;6000,00;1500,00;540
"GENTILHOMME              ";5;H;"PUR SANG";3;0;1;6000,00;0,00;6000,00;2000,00;600
"HUDSON SPORT             ";4;H;"PUR SANG";6;0;4;5995,00;0,00;5995,00;999,17;500
"HARPE MAGIQUE            ";4;F;"CHEVAL AUTRE QUE PUR SANG";7;0;4;5990,00;0,00;5990,00;855,71;500
"BLUE SKY SORRENTO        ";5;H;"PUR SANG";7;0;4;5985,00;0,00;5985,00;855,00;520
"FLORA COLLONGES          ";6;F;"CHEVAL AUTRE QUE PUR SANG";5;0;4;5985,00;0,00;5985,00;1197,00;520
"SWING CAT                ";4;F;"PUR SANG";3;0;3;5935,00;0,00;5935,00;1978,33;525
"HISTORY DE CHOISEL       ";4;F;"PUR SANG";3;0;3;5935,00;0,00;5935,00;1978,33;530
"HERE HE COMES            ";6;H;"PUR SANG";5;0;4;5850,00;0,00;5850,00;1170,00;525
"LOVLY GIRL               ";4;F;"PUR SANG";6;0;3;5820,00;0,00;5820,00;970,00;500
"COUP DE MAITRE           ";6;F;"PUR SANG";3;0;2;5805,00;0,00;5805,00;1935,00;470
"SPEEDY DATE              ";6;H;"PUR SANG";5;0;2;5805,00;0,00;5805,00;1161,00;535
"MIND OF WAR              ";4;H;"PUR SANG";3;1;0;5760,00;0,00;5760,00;1920,00;
"FAST MARE                ";6;H;"CHEVAL AUTRE QUE PUR SANG";2;1;0;5760,00;0,00;5760,00;2880,00;540
